favorite_count,retweet_count,tweet_id
15199,3042,211226625
18659,6615,-342487040
28937,14853,1159168002
35955,10215,1817579521
11653,2391,433463297
0,3466,2140545024
8659,1704,1909854209
8250,1827,-2062090240
12119,4498,-1323925504
8917,2068,1284796417
9857,2210,261386241
13015,2359,1830252544
32447,10234,878149637
12573,3338,-1126911999
0,2657,-870879231
3437,583,429211648
20390,6489,1507332
5481,1224,1935032325
13263,5032,97918977
13824,3222,869732353
9917,2053,2111086594
7438,1243,1922437121
23773,6972,-1378467839
0,38130,974458880
0,19599,-2049622016
46620,19599,-2049622016
89555,38130,974458880
23063,7799,1289101312
10144,2667,-262914048
0,6364,-1667858432
11245,2555,-1978318848
11361,2369,-199979008
12676,2669,-1428754429
53374,28052,857083905
11067,2798,802492416
12148,3098,-1068089344
35028,15328,-1722318847
5782,990,1515618304
0,8789,-292089856
9028,2095,-535396351
12589,2702,638889984
8848,1709,-1932189696
0,4884,1683390464
10329,2115,366432257
10112,2279,-1378615295
31514,8415,-1961406460
8886,2025,1733693440
9212,2224,253108224
0,5480,-858497024
5132,1065,1431715842
23143,8789,-292089856
10169,2352,-1957289984
8488,1712,2090213376
10699,3954,618102789
7901,1330,-766107647
11652,2806,1226240000
8933,1927,-447340544
29751,9018,-2070601728
0,3309,-480804864
9613,1944,-1265152000
37640,14523,-589922304
8612,1833,534204416
19296,7582,1163333634
9533,1875,-1575518208
20536,4538,-468410368
9605,2000,1150595072
8033,2302,1465262080
8767,2470,-485228544
12269,3255,-1604972544
10674,2861,-1789509632
10909,3765,1121353728
10217,2873,-1391063040
8244,2031,-476770303
21677,7654,-1843965952
7853,1986,-174850048
6852,1486,-552202240
6274,1270,-1160364032
8239,2007,-241795072
14161,3817,1830191104
7522,1456,-1844183040
7809,1658,148307968
13217,3216,-1802043392
21650,6633,-78233599
5530,1494,-1764294656
9354,1844,-892076032
11363,2766,89587712
36557,11814,1041690624
15211,3499,940974080
16054,4092,1314344964
0,5108,-1504227328
7201,1525,739577856
20634,5853,919998464
13701,3680,-1923833855
10473,3173,1385431040
8204,2259,-11198463
11704,2713,2069147648
0,6173,64294912
9096,2298,1415020546
13022,3681,1196728320
15116,3793,1368694784
122791,57832,-497770496
0,7649,-1814622207
13535,4012,-1709748223
77543,36171,-1709748223
10597,2458,1398206464
0,12132,-661254144
6659,1235,-980082688
0,5588,-1126756352
8586,1999,-585871360
6801,1905,-187363328
5954,1721,-698908667
9114,2627,1012273153
